 
****************************************
Report : resources
Design : MBE_Mult
Version: O-2018.06-SP4
Date   : Sat Dec 11 02:32:22 2021
****************************************


Resource Report for this hierarchy in file ../src/MBE_Mult_syn.vhd
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
=============================================================================
| add_x_1        | DW01_add       | width=48   | add_1139 (MBE_Mult_syn.vhd:1139) |
| lte_x_2        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20 (Mux8to1.vhd:20) |
| lte_x_3        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_4        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_5        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_6        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_7        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_9        | DW_cmp         | width=3    | PP_GEN/Mux_0/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_24       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20 (Mux8to1.vhd:20) |
| lte_x_25       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_26       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_27       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_28       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_29       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_30       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_31       | DW_cmp         | width=3    | PP_GEN/Mux_1/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_46       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20 (Mux8to1.vhd:20) |
| lte_x_47       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_48       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_49       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_50       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_51       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_52       | DW_cmp         | width=3    | PP_GEN/Mux_2/lte_20_7 (Mux8to1.vhd:20) |
